0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02549432481929149,0.028487266450640793,0.9992689903385267,No
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.043467707609817746,0.043467707609817746,0.9981087700197283,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016783350727259224,0.02742753020762828,0.9994828911617625,No
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.015768955616968474,0.02586498569084198,0.9995410659667578,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.019988624902973824,0.024554740887822182,0.9994986341033288,No
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04037040024999651,0.06545469854142742,0.9970385715821158,No
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.041143140489542464,0.0604550943201781,0.9973226276192654,No
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.029524959856908957,0.029524959856908957,0.9991278964631585,No
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011003596392583696,0.023263084145492944,0.9996688200511551,No
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024294777406256785,0.03355966692867857,0.999141387665638,No
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.019215402063429112,0.02450347514549608,0.9995150564295342,No
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.018933173734836117,0.027041981030499887,0.9994549845762302,No
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.019904038485019197,0.019904038485019197,0.9996037507452509,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02158586172404719,0.02882242842315973,0.9993514487873734,No
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.011473593580177533,0.026368009278293605,0.9995864568595639,No
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.019555832526730012,0.02552544623429837,0.9994828767961593,No
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01390327457635654,0.03809434552262577,0.9991774215800001,No
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.018743249084010462,0.02829225629183485,0.999423953509066,No
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.025416014031679493,0.027905549408860364,0.9992873993716378,No
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.026092980888635427,0.03207012811162764,0.9991449660741174,No
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02482207535443325,0.043045880330897776,0.9987646953920812,No
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03378108321118751,0.03974400324585709,0.9986386997423403,No
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.022912714874112138,0.026554237800822278,0.9993847507101131,No
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.021148027300634573,0.026835003920957456,0.9994161513132825,No
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017831307662237908,0.03903320384963118,0.9990788024296622,No
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009539539458607449,0.04504470761676742,0.9989394233398928,Yes
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03306366962291963,0.03959030057425607,0.9986688148988666,No
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03405881576648475,0.044151910579813165,0.998444092506304,No
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.024059991186569953,0.02910128255285135,0.9992868618058987,No
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03219308210954589,0.03219308210954589,0.9989630678501463,No
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01173131878678546,0.046781991529763374,0.9988362335378267,No
